X,Y,nom_dept,nom_com,insee_com,nom_station,code_station,typologie,influence,nom_poll,id_poll_ue,valeur,unite,metrique,date_debut,date_fin,statut_valid,x_l93,y_l93,ObjectId
1.41518,43.6103,HAUTE-GARONNE,TOULOUSE,31555,Toulouse - Port de l Embouchure Trafic,FR50821,Urbaine,Trafic,PM10,5,,ug.m-3,journaliere,2023/08/27 00:00:00+00,2023/08/27 23:59:00+00,f,572027,6280312,645
1.41518,43.6103,HAUTE-GARONNE,TOULOUSE,31555,Toulouse - Port de l Embouchure Trafic,FR50821,Urbaine,Trafic,PM10,5,,ug.m-3,journaliere,2023/08/28 00:00:00+00,2023/08/28 23:59:00+00,f,572027,6280312,646
1.41518,43.6103,HAUTE-GARONNE,TOULOUSE,31555,Toulouse - Port de l Embouchure Trafic,FR50821,Urbaine,Trafic,PM10,5,,ug.m-3,journaliere,2023/08/29 00:00:00+00,2023/08/29 23:59:00+00,f,572027,6280312,647
1.46765,43.6431,HAUTE-GARONNE,TOULOUSE,31555,Toulouse - Rte Albi Trafic,FR50054,Urbaine,Trafic,NOX,9,38.2,ug.m-3,journaliere,2023/08/22 00:00:00+00,2023/08/22 23:59:00+00,t,576334,6283873,1166
1.46765,43.6431,HAUTE-GARONNE,TOULOUSE,31555,Toulouse - Rte Albi Trafic,FR50054,Urbaine,Trafic,NOX,9,91.9,ug.m-3,journaliere,2023/08/23 00:00:00+00,2023/08/23 23:59:00+00,t,576334,6283873,1167
1.46765,43.6431,HAUTE-GARONNE,TOULOUSE,31555,Toulouse - Rte Albi Trafic,FR50054,Urbaine,Trafic,NOX,9,56.6,ug.m-3,journaliere,2023/08/24 00:00:00+00,2023/08/24 23:59:00+00,t,576334,6283873,1168
1.46765,43.6431,HAUTE-GARONNE,TOULOUSE,31555,Toulouse - Rte Albi Trafic,FR50054,Urbaine,Trafic,NOX,9,23.4,ug.m-3,journaliere,2023/08/25 00:00:00+00,2023/08/25 23:59:00+00,t,576334,6283873,1169
1.46765,43.6431,HAUTE-GARONNE,TOULOUSE,31555,Toulouse - Rte Albi Trafic,FR50054,Urbaine,Trafic,NOX,9,35.8,ug.m-3,journaliere,2023/08/26 00:00:00+00,2023/08/26 23:59:00+00,t,576334,6283873,1170
1.46765,43.6431,HAUTE-GARONNE,TOULOUSE,31555,Toulouse - Rte Albi Trafic,FR50054,Urbaine,Trafic,NOX,9,16.1,ug.m-3,journaliere,2023/08/27 00:00:00+00,2023/08/27 23:59:00+00,t,576334,6283873,1171
1.44403,43.5873,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Berthelot Urbain,FR50030,Urbaine,Fond,NOX,9,14.6,ug.m-3,journaliere,2023/08/22 00:00:00+00,2023/08/22 23:59:00+00,t,574306,6277713,1669
1.44403,43.5873,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Berthelot Urbain,FR50030,Urbaine,Fond,NOX,9,16.5,ug.m-3,journaliere,2023/08/23 00:00:00+00,2023/08/23 23:59:00+00,t,574306,6277713,1670
1.44403,43.5873,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Berthelot Urbain,FR50030,Urbaine,Fond,NOX,9,8.5,ug.m-3,journaliere,2023/08/24 00:00:00+00,2023/08/24 23:59:00+00,t,574306,6277713,1671
1.44403,43.5873,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Berthelot Urbain,FR50030,Urbaine,Fond,NOX,9,6,ug.m-3,journaliere,2023/08/25 00:00:00+00,2023/08/25 23:59:00+00,t,574306,6277713,1672
1.44403,43.5873,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Berthelot Urbain,FR50030,Urbaine,Fond,NOX,9,7,ug.m-3,journaliere,2023/08/26 00:00:00+00,2023/08/26 23:59:00+00,t,574306,6277713,1673
1.44403,43.5873,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Berthelot Urbain,FR50030,Urbaine,Fond,NOX,9,5,ug.m-3,journaliere,2023/08/27 00:00:00+00,2023/08/27 23:59:00+00,t,574306,6277713,1674
1.44403,43.5873,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Berthelot Urbain,FR50030,Urbaine,Fond,NOX,9,4.6,ug.m-3,journaliere,2023/08/28 00:00:00+00,2023/08/28 23:59:00+00,t,574306,6277713,1675
1.44403,43.5873,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Berthelot Urbain,FR50030,Urbaine,Fond,NOX,9,4.2,ug.m-3,journaliere,2023/08/29 00:00:00+00,2023/08/29 23:59:00+00,t,574306,6277713,1676
1.39326,43.5616,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-SETMI Eisenhower Industriel,FR50039,Urbaine,Industrielle,NOX,9,13.6,ug.m-3,journaliere,2023/08/22 00:00:00+00,2023/08/22 23:59:00+00,t,570147,6274936,1735
1.39326,43.5616,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-SETMI Eisenhower Industriel,FR50039,Urbaine,Industrielle,NOX,9,22.7,ug.m-3,journaliere,2023/08/23 00:00:00+00,2023/08/23 23:59:00+00,t,570147,6274936,1736
1.39326,43.5616,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-SETMI Eisenhower Industriel,FR50039,Urbaine,Industrielle,NOX,9,11.1,ug.m-3,journaliere,2023/08/24 00:00:00+00,2023/08/24 23:59:00+00,t,570147,6274936,1737
1.39326,43.5616,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-SETMI Eisenhower Industriel,FR50039,Urbaine,Industrielle,NOX,9,8.8,ug.m-3,journaliere,2023/08/25 00:00:00+00,2023/08/25 23:59:00+00,t,570147,6274936,1738
1.39326,43.5616,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-SETMI Eisenhower Industriel,FR50039,Urbaine,Industrielle,NOX,9,19,ug.m-3,journaliere,2023/08/26 00:00:00+00,2023/08/26 23:59:00+00,t,570147,6274936,1739
1.39326,43.5616,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-SETMI Eisenhower Industriel,FR50039,Urbaine,Industrielle,NOX,9,6.7,ug.m-3,journaliere,2023/08/27 00:00:00+00,2023/08/27 23:59:00+00,t,570147,6274936,1740
1.39326,43.5616,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-SETMI Eisenhower Industriel,FR50039,Urbaine,Industrielle,NOX,9,8.4,ug.m-3,journaliere,2023/08/28 00:00:00+00,2023/08/28 23:59:00+00,t,570147,6274936,1741
1.39326,43.5616,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-SETMI Eisenhower Industriel,FR50039,Urbaine,Industrielle,NOX,9,10.8,ug.m-3,journaliere,2023/08/29 00:00:00+00,2023/08/29 23:59:00+00,t,570147,6274936,1742
1.44403,43.5873,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Berthelot Urbain,FR50030,Urbaine,Fond,NOX,9,7.7,ug.m-3,journaliere,2023/09/07 00:00:00+00,2023/09/07 23:59:00+00,t,574306,6277713,1745
